gene_id,value
K00001,1.0
K00002,0.2
K00003,1.0
K00004,0.39999999999999997
K00005,-1.0
K00008,0.8
K00009,-0.8
K00010,0.8
K00012,0.0
K00013,0.0
K00014,0.0
K00015,0.19999999999999996
K00016,-1.0
K00019,1.0
K00020,0.0
K00023,1.0
K00024,0.0
K00027,0.0
K00029,-0.2
K00030,-0.8
K00031,1.0
K00033,0.0
K00034,0.0
K00035,1.0
K00036,0.8
K00038,-0.19999999999999996
K00039,1.0
K00040,1.0
K00042,1.0
K00043,1.0
K00045,1.0
K00046,1.0
K00052,1.0
K00053,1.0
K00055,1.0
K00057,0.0
K00058,0.0
K00059,0.0
K00060,0.0
K00064,1.0
K00065,1.0
K00067,0.0
K00073,0.2
K00074,1.0
K00075,0.0
K00077,0.0
K00087,0.2
K00088,0.0
K00090,-0.2
K00091,0.4
K00096,-0.2
K00097,1.0
K00098,1.0
K00099,0.0
K00101,1.0
K00102,1.0
K00104,0.4
K00108,0.8
K00111,0.0
K00112,-0.2
K00113,0.8
K00116,-1.0
K00117,1.0
K00118,0.2
K00121,1.0
K00123,1.0
K00124,-0.6
K00126,1.0
K00127,1.0
K00128,1.0
K00130,0.8
K00131,-0.8
K00132,-0.2
K00133,0.0
K00134,0.0
K00135,0.0
K00137,1.0
K00138,0.0
K00140,1.0
K00141,0.4
K00145,0.4
K00146,0.4
K00147,1.0
K00148,0.0
K00151,0.6
K00154,1.0
K00156,0.2
K00161,1.0
K00162,1.0
K00163,0.2
K00164,0.0
K00166,0.0
K00167,0.0
K00179,-0.2
K00208,0.0
K00215,0.0
K00217,1.0
K00219,0.2
K00220,1.0
K00227,0.2
K00228,1.0
K00231,-1.0
K00234,0.8
K00235,1.0
K00236,1.0
K00239,0.0
K00240,-1.0
K00241,-1.0
K00242,1.0
K00243,-1.0
K00244,-0.2
K00248,0.0
K00249,0.4
K00252,1.0
K00253,1.0
K00254,0.2
K00259,0.0
K00260,-0.19999999999999996
K00263,-1.0
K00264,-1.0
K00265,0.0
K00266,0.8
K00274,0.0
K00275,1.0
K00276,0.8
K00278,0.0
K00281,0.8
K00282,-1.0
K00283,-1.0
K00285,0.8
K00286,0.0
K00287,0.0
K00297,1.0
K00299,1.0
K00301,0.4
K00302,1.0
K00303,0.8
K00304,1.0
K00305,1.0
K00309,1.0
K00310,1.0
K00311,0.8
K00313,1.0
K00318,-1.0
K00320,0.19999999999999996
K00322,1.0
K00323,0.4
K00324,1.0
K00325,1.0
K00330,0.8
K00331,0.6
K00332,0.6
K00333,0.6
K00334,0.8
K00335,1.0
K00336,0.2
K00337,1.0
K00338,0.6
K00339,1.0
K00340,1.0
K00341,1.0
K00342,0.8
K00343,1.0
K00344,0.0
K00347,-0.2
K00348,-0.2
K00354,1.0
K00355,1.0
K00362,1.0
K00364,-1.0
K00372,0.4
K00374,-0.2
K00375,0.0
K00380,0.4
K00381,1.0
K00382,0.0
K00383,0.0
K00384,0.0
K00387,0.4
K00389,-0.6000000000000001
K00390,1.0
K00404,1.0
K00405,1.0
K00406,1.0
K00407,1.0
K00410,1.0
K00411,1.0
K00413,1.0
K00425,0.0
K00426,0.0
K00428,1.0
K00432,0.0
K00433,0.0
K00435,-1.0
K00446,1.0
K00448,1.0
K00449,1.0
K00450,-0.2
K00451,1.0
K00453,-1.0
K00457,1.0
K00459,1.0
K00477,1.0
K00479,1.0
K00481,1.0
K00491,-1.0
K00500,0.0
K00508,-0.2
K00520,-1.0
K00525,0.0
K00526,0.0
K00529,0.6
K00537,0.0
K00540,-0.2
K00545,1.0
K00547,1.0
K00548,0.8
K00554,0.0
K00556,-1.0
K00558,0.4
K00560,0.0
K00564,0.0
K00566,0.0
K00567,0.0
K00568,0.6
K00570,1.0
K00571,0.2
K00573,0.8
K00574,1.0
K00575,0.0
K00577,-0.2
K00587,1.0
K00588,0.0
K00595,1.0
K00598,1.0
K00600,0.0
K00602,0.0
K00604,0.0
K00605,0.0
K00606,0.0
K00609,0.0
K00611,0.0
K00615,0.19999999999999996
K00616,1.0
K00619,0.8
K00620,0.4
K00625,0.2
K00626,1.0
K00627,0.0
K00632,0.0
K00633,1.0
K00634,-1.0
K00639,0.0
K00640,0.0
K00641,0.6
K00643,1.0
K00645,0.0
K00647,0.2
K00648,0.0
K00651,0.8
K00652,0.6
K00655,0.0
K00656,-1.0
K00657,1.0
K00658,0.0
K00659,-0.2
K00661,0.0
K00662,-0.8
K00663,0.6
K00666,0.0
K00677,1.0
K00678,-0.2
K00681,0.8
K00684,1.0
K00688,0.0
K00689,-0.4
K00691,-1.0
K00694,1.0
K00697,1.0
K00700,1.0
K00703,0.0
K00705,1.0
K00721,1.0
K00748,1.0
K00750,1.0
K00752,-0.2
K00754,-1.0
K00756,-1.0
K00758,0.8
K00759,0.0
K00760,1.0
K00761,0.0
K00762,0.0
K00763,0.0
K00764,0.0
K00765,0.0
K00766,0.0
K00767,0.0
K00768,1.0
K00769,1.0
K00773,0.0
K00782,-1.0
K00783,0.0
K00784,-1.0
K00788,0.0
K00789,0.0
K00790,0.0
K00791,-0.8
K00793,0.0
K00794,0.0
K00795,0.0
K00796,0.0
K00797,0.4
K00798,0.0
K00799,0.8
K00800,0.0
K00805,-1.0
K00806,0.0
K00808,1.0
K00812,0.4
K00813,0.8
K00817,0.0
K00819,0.0
K00820,0.0
K00821,0.4
K00822,1.0
K00824,1.0
K00826,0.0
K00830,0.2
K00831,0.0
K00832,0.4
K00845,1.0
K00847,0.0
K00849,-0.8
K00850,-1.0
K00851,1.0
K00852,0.4
K00853,-0.4
K00854,1.0
K00857,0.0
K00858,0.0
K00859,0.0
K00862,1.0
K00863,1.0
K00864,0.0
K00865,-1.0
K00867,1.0
K00868,1.0
K00873,0.0
K00874,1.0
K00875,1.0
K00876,-0.8
K00878,0.0
K00879,1.0
K00880,0.8
K00882,-1.0
K00883,1.0
K00887,0.0
K00891,-1.0
K00892,-0.2
K00894,0.2
K00895,1.0
K00899,-1.0
K00903,-1.0
K00912,1.0
K00919,0.0
K00925,0.0
K00926,-0.8
K00927,0.0
K00928,0.0
K00929,-1.0
K00930,0.4
K00931,0.8
K00936,1.0
K00937,0.0
K00939,0.0
K00940,0.0
K00941,0.0
K00942,0.0
K00943,0.0
K00945,1.0
K00948,0.0
K00949,0.0
K00950,0.0
K00954,0.0
K00956,1.0
K00957,1.0
K00962,0.0
K00963,-0.2
K00969,0.0
K00970,1.0
K00971,1.0
K00973,0.19999999999999996
K00974,-1.0
K00975,0.0
K00978,0.4
K00979,1.0
K00981,0.0
K00982,0.8
K00984,-0.6
K00986,0.19999999999999996
K00989,0.0
K00990,1.0
K00991,-1.0
K00992,1.0
K00997,0.0
K00998,-0.2
K01000,0.0
K01004,1.0
K01005,-1.0
K01006,1.0
K01007,-0.2
K01011,0.0
K01013,-0.4
K01026,0.8
K01031,1.0
K01032,1.0
K01040,0.4
K01046,0.0
K01048,0.8
K01053,1.0
K01054,0.0
K01055,0.0
K01056,0.0
K01057,1.0
K01060,0.6
K01061,1.0
K01066,0.0
K01069,0.0
K01070,1.0
K01075,0.8
K01077,1.0
K01079,0.8
K01082,1.0
K01083,-0.2
K01087,1.0
K01089,-0.2
K01091,0.0
K01092,0.0
K01104,-0.2
K01114,1.0
K01115,0.4
K01118,0.0
K01119,0.19999999999999996
K01121,-0.2
K01126,0.0
K01129,1.0
K01130,0.6000000000000001
K01133,1.0
K01134,0.8
K01139,0.0
K01142,1.0
K01147,-0.2
K01150,-0.2
K01151,-1.0
K01153,0.0
K01154,0.2
K01156,-0.2
K01159,1.0
K01160,0.4
K01169,1.0
K01173,0.2
K01174,0.0
K01175,0.19999999999999996
K01176,-1.0
K01178,0.4
K01181,1.0
K01182,0.0
K01184,1.0
K01185,1.0
K01186,1.0
K01190,1.0
K01191,1.0
K01192,1.0
K01193,0.0
K01198,0.6
K01200,-1.0
K01206,1.0
K01207,0.0
K01208,-0.8
K01209,0.6
K01214,1.0
K01217,1.0
K01218,1.0
K01222,-1.0
