gene_id,GSM1228184_AMC_2.1,GSM1228185_AMC_3.1,GSM1228186_AMC_5.1,GSM1228187_AMC_6.1,GSM1228188_AMC_7.1,GSM1228189_AMC_8.1,GSM1228190_AMC_9.1,GSM1228191_AMC_10.1,GSM1228192_AMC_12.1,GSM1228193_AMC_13.1,GSM1228194_AMC_17.1,GSM1228195_AMC_18.1,GSM1228196_AMC_19.1,GSM1228197_AMC_20.1,GSM1228198_AMC_21.1,GSM1228199_AMC_22.1,GSM1228200_AMC_23.1,GSM1228201_AMC_24.1,GSM1228202_AMC_2.2,GSM1228203_AMC_3.2,GSM1228204_AMC_5.2,GSM1228205_AMC_6.2,GSM1228206_AMC_7.2,GSM1228207_AMC_8.2,GSM1228208_AMC_9.2,GSM1228209_AMC_10.2,GSM1228210_AMC_12.2,GSM1228211_AMC_13.2,GSM1228212_AMC_17.2,GSM1228213_AMC_18.2,GSM1228214_AMC_19.2,GSM1228215_AMC_20.2,GSM1228216_AMC_21.2,GSM1228217_AMC_22.2,GSM1228218_AMC_23.2,GSM1228219_AMC_24.2,GSM1228220_AMC_2.3,GSM1228221_AMC_3.3,GSM1228222_AMC_5.3,GSM1228223_AMC_6.3,GSM1228224_AMC_7.3,GSM1228225_AMC_8.3,GSM1228226_AMC_9.3,GSM1228227_AMC_10.3,GSM1228228_AMC_12.3,GSM1228229_AMC_13.3,GSM1228230_AMC_17.3,GSM1228231_AMC_18.3,GSM1228232_AMC_19.3,GSM1228233_AMC_20.3,GSM1228234_AMC_21.3,GSM1228235_AMC_22.3,GSM1228236_AMC_23.3,GSM1228237_AMC_24.3
OPN1MW2,0.0,0.0,0.0,0.0151109,0.0,0.0,0.0404226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORF4L1,84.0225,81.4395,93.3927,72.8592,66.2122,115.262,171.98,111.281,99.1558,102.632,126.727,77.1679,136.896,172.504,112.468,123.814,106.134,107.796,107.753,101.579,89.2985,97.7819,107.984,103.793,101.891,89.4396,103.09,106.332,205.741,80.8613,108.076,113.266,110.115,106.676,117.454,113.452,91.4043,129.695,98.3497,63.9558,105.883,115.418,111.297,152.993,75.2208,117.128,68.9733,58.6518,77.6713,128.781,112.669,83.0109,144.126,147.112
TTTY7,0.0,0.0,0.0,1.85e-6,0.0,0.0,0.0,0.0,0.0,0.0,9.64e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115881,0.0
CTRL,0.307047,0.196029,0.344625,0.450675,0.387443,0.291691,0.406599,0.327046,0.274607,0.464865,0.608592,0.19064,0.280946,0.522413,0.166078,0.454178,0.140785,0.407992,0.34089,0.332419,0.591114,0.428854,0.534555,0.519079,0.265597,0.571546,0.333119,0.400279,0.359433,0.360054,0.211891,0.847747,0.199855,0.430625,0.0724195,0.837893,0.334865,0.252452,0.392876,0.345693,0.517947,0.259627,0.307284,0.0854698,0.523473,0.411172,0.375819,0.202721,0.573906,0.538043,0.327747,0.293558,0.145021,0.100218
INTU,0.811412,1.58678,0.892935,0.807955,0.949663,0.709208,1.39422,0.825695,0.906647,0.627044,0.830346,0.508637,0.92665,0.294887,0.443593,0.546867,1.14261,1.04604,0.655567,0.619979,0.734396,0.825841,0.502947,0.527835,0.760516,0.733787,0.739428,0.412848,1.29854,0.440438,0.870219,0.862209,0.881852,0.641077,0.737171,0.679723,0.474918,0.770772,0.711818,0.931875,0.817527,1.47287,1.20697,0.354835,0.866984,0.562845,0.935617,0.579145,0.475015,0.459512,0.335543,0.275317,0.5385,0.864424
SEMA4D,5.89733,9.88816,5.19172,7.31846,9.74187,3.47525,3.55497,6.31624,10.2044,4.99623,5.49947,10.2471,4.82636,5.89865,7.60638,7.0878,5.71617,9.58894,5.07888,4.36843,5.48294,5.80647,6.3885,7.46805,5.44388,4.42121,8.33521,5.87763,3.21985,7.89216,6.77898,7.34813,5.39502,7.719,4.7042,3.03046,4.5622,4.13521,9.91833,6.86607,9.74278,4.85107,6.85401,3.21109,11.0616,7.6196,11.5666,9.75922,8.732,11.8382,4.74594,4.93624,7.25673,7.14119
H3F3B,131.105,133.315,212.9,194.914,201.301,212.389,204.656,196.156,166.054,261.425,198.943,218.589,243.994,293.541,319.355,216.773,181.755,245.716,191.756,222.897,222.942,200.108,174.73,318.189,211.669,228.596,253.298,225.375,198.614,260.06,269.631,272.311,244.899,292.805,235.106,236.717,124.401,231.319,252.165,149.695,183.088,273.584,279.066,231.959,144.023,388.898,201.992,238.683,234.291,251.479,279.191,180.652,280.559,314.264
MTPN,59.4421,54.607,39.5603,70.428,59.7844,35.3857,42.2422,50.6387,41.1886,29.9745,36.614,42.7636,52.5499,52.1846,66.424,65.0747,46.2754,51.4966,41.2396,43.9961,41.737,40.7358,43.699,44.5915,41.625,34.2975,41.977,36.6595,44.8703,35.4626,41.3104,48.0853,43.7231,46.5453,45.4839,34.029,45.0188,51.4692,57.4142,58.0452,46.5587,35.5992,51.9675,34.6912,44.2942,53.8155,45.0174,44.5117,32.7203,51.0372,55.3037,50.9301,47.0239,45.6166
C20orf141,0.0,0.0,0.0,0.0,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716904,0.0
CHST8,0.0140921,0.0145532,0.110002,0.0,0.0,0.0831305,1.02265,0.0391418,0.0325072,0.0660727,0.0565519,0.0,0.121071,0.046824,0.0,0.0902498,0.0922164,0.0,0.0385317,0.129839,0.0422226,0.0852632,0.192092,0.036982,0.109308,0.063434,0.0524555,0.0561886,0.646251,0.268063,0.0589447,0.132413,0.139504,0.243572,0.0944003,0.11735,0.0,0.0158289,0.0,0.0,0.0331917,0.0248367,0.0129905,0.0,0.0199898,0.0177698,0.0548017,0.0363297,0.127347,0.0,0.0196549,0.0303221,0.0139287,0.0306214
